               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.043454,             0.10004,                   0,             0.97515,             0.94104,             0.98482,             0.67437,            0.034204,            0.064732,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.043447,             0.10537,                   0,              0.9754,             0.93998,             0.98427,             0.66329,            0.034328,            0.064246,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.041924,            0.096683,                   0,             0.97411,              0.9406,             0.98378,             0.64404,             0.03559,            0.065014,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.042546,             0.10047,                   0,              0.9764,             0.94873,             0.98544,              0.6788,             0.03412,            0.064312,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.043813,            0.099548,                   0,             0.97498,              0.9398,             0.98403,             0.67848,            0.034061,             0.06447,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.042288,             0.10467,                   0,             0.97211,             0.94157,             0.98427,              0.6737,            0.034546,             0.06465,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.042009,             0.09984,                   0,             0.97706,             0.94556,             0.98622,             0.68702,            0.033529,            0.063483,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.042743,            0.099028,                   0,             0.97493,             0.94315,             0.98473,             0.65848,            0.034763,            0.064506,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.043016,             0.10322,                   0,             0.97442,             0.94516,             0.98542,             0.66459,            0.034857,            0.064362,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.041086,            0.096191,                   0,             0.97882,             0.94253,             0.98568,             0.68552,            0.033414,            0.063643,                   0,            0.005446,            0.005446,            0.005446
                  71,             0.04164,             0.10054,                   0,             0.97503,              0.9471,             0.98684,             0.68994,            0.033272,            0.062897,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.042389,             0.10248,                   0,             0.97921,             0.94145,             0.98611,             0.65337,             0.03495,            0.063647,                   0,            0.005314,            0.005314,            0.005314
                  73,             0.04255,            0.098645,                   0,             0.97814,             0.94368,              0.9861,             0.66649,             0.03417,            0.063007,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.041026,            0.096592,                   0,             0.97854,             0.94859,             0.98702,             0.69156,            0.033103,            0.062878,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.040406,            0.098621,                   0,             0.97786,             0.94972,              0.9874,             0.70115,            0.032739,            0.062228,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.042407,            0.097922,                   0,             0.97949,             0.94487,             0.98607,             0.69318,            0.033069,            0.062871,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.042185,            0.098757,                   0,             0.97725,             0.94741,             0.98703,             0.68529,            0.033283,            0.062693,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.040132,            0.099201,                   0,             0.97934,             0.94723,             0.98791,               0.666,            0.033713,             0.06234,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.042874,              0.1005,                   0,             0.97643,             0.94765,             0.98762,             0.67738,            0.033395,            0.062434,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.041398,             0.09751,                   0,             0.97764,             0.94804,             0.98722,             0.69035,            0.032992,            0.062136,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.041366,            0.098368,                   0,             0.97603,             0.94901,             0.98665,              0.6901,            0.033269,            0.062417,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.040355,             0.10031,                   0,             0.97747,             0.95084,             0.98741,             0.67989,            0.033303,            0.061864,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.040784,            0.096448,                   0,             0.97626,             0.94983,             0.98786,             0.69286,            0.033092,            0.062376,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.040921,            0.096867,                   0,             0.97637,             0.95245,             0.98797,             0.70144,            0.032385,            0.061436,                   0,            0.004522,            0.004522,            0.004522
                  85,             0.04057,            0.092868,                   0,             0.97891,              0.9533,             0.98902,             0.69291,            0.032886,            0.061747,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.040178,              0.1048,                   0,             0.97488,             0.95732,             0.98888,             0.69403,            0.032873,            0.062058,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.040339,            0.097962,                   0,             0.97961,             0.95549,             0.98886,             0.70859,            0.032036,            0.060905,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.040666,             0.09615,                   0,             0.98102,              0.9548,             0.98847,             0.70711,            0.032169,            0.061171,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.039868,            0.095366,                   0,             0.97481,              0.9493,             0.98697,             0.69731,             0.03285,             0.06199,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.039403,            0.095767,                   0,              0.9787,             0.95232,             0.98866,             0.71061,            0.032116,            0.061279,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.039603,             0.09568,                   0,             0.97508,             0.95467,             0.98877,             0.71422,            0.031852,            0.060941,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.039993,            0.098835,                   0,             0.97588,             0.95359,             0.98867,             0.70515,            0.032262,            0.061256,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.039566,            0.095323,                   0,             0.97992,             0.94821,             0.98808,             0.68905,             0.03288,            0.061539,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.040381,            0.096399,                   0,             0.97979,             0.95466,             0.98905,              0.7087,            0.032072,            0.060944,                   0,            0.003862,            0.003862,            0.003862
