               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.043644,             0.10285,                   0,             0.97105,             0.93578,             0.98412,             0.65298,            0.035168,            0.065446,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.043786,             0.10128,                   0,             0.96914,             0.94143,             0.98453,             0.66055,            0.034816,             0.06557,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.043331,             0.10607,                   0,             0.97634,             0.94005,             0.98483,             0.65935,              0.0347,            0.064845,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.041534,            0.096885,                   0,             0.97714,              0.9426,             0.98476,             0.66429,            0.034615,            0.064723,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.042514,             0.10073,                   0,             0.97518,             0.94846,             0.98608,              0.6701,            0.034538,            0.065059,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.044235,             0.10049,                   0,             0.97339,             0.94405,             0.98569,             0.67463,            0.034084,            0.064421,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.042265,             0.10482,                   0,             0.97197,             0.94129,             0.98472,             0.66954,            0.034829,            0.064826,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.043238,             0.10064,                   0,              0.9754,             0.94548,             0.98623,             0.68359,            0.033572,            0.063425,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.042153,            0.099072,                   0,             0.97673,             0.94296,             0.98576,             0.67319,            0.034277,             0.06363,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.042458,             0.10338,                   0,              0.9746,             0.94121,             0.98605,             0.68272,            0.033837,            0.063519,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.041313,            0.096656,                   0,             0.97474,             0.94146,             0.98625,             0.67881,            0.033641,            0.063337,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.042501,             0.10144,                   0,             0.97605,             0.94357,             0.98697,              0.6806,            0.033858,            0.063601,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.043504,             0.10347,                   0,             0.97499,             0.94708,             0.98643,             0.67236,            0.034186,             0.06333,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.042495,            0.099044,                   0,              0.9787,             0.94611,             0.98678,              0.6868,            0.033319,            0.062847,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.040561,            0.096792,                   0,             0.97781,             0.94752,             0.98727,             0.68954,            0.033148,            0.062975,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.041229,            0.099641,                   0,             0.97772,             0.95052,             0.98799,             0.66857,            0.034213,            0.063187,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.043467,             0.09878,                   0,             0.97783,             0.95025,             0.98789,             0.67925,             0.03382,            0.062839,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.042574,             0.09952,                   0,             0.97592,             0.94948,             0.98765,             0.68073,            0.033403,            0.062241,                   0,            0.004984,            0.004984,            0.004984
                  78,             0.04042,             0.09967,                   0,             0.97432,             0.94832,             0.98773,              0.6867,            0.033061,            0.062038,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.042611,             0.10052,                   0,             0.97578,             0.94722,             0.98739,             0.69296,            0.032821,            0.062107,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.040463,            0.097093,                   0,             0.97337,             0.94687,             0.98646,             0.69142,            0.032888,            0.062154,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.041244,            0.098729,                   0,             0.97683,             0.94804,             0.98678,             0.68805,            0.033198,            0.062425,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.039897,            0.099753,                   0,             0.97678,             0.95095,             0.98767,              0.6854,            0.033118,            0.061989,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.040428,            0.096307,                   0,             0.97652,             0.95143,             0.98813,             0.69507,            0.032901,            0.062106,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.041078,            0.097782,                   0,              0.9742,             0.95438,             0.98853,             0.69749,            0.032508,             0.06187,                   0,            0.004522,            0.004522,            0.004522
